MP_ID,AREA_NO,HOLIDAY,ELECTRO_TYPE,TRADE_NO,WINDSPEED,LAPSERATE,AIRPRESSURE,HUMIDITY,PRECIPITATIONRANINFALL
2565841,35401,2,100,1710,2.9625,26.2875,997.2041667,82.33333333,0
2692122,35401,0,100,1750,2.7625,29.28333333,996.0083333,79.95833333,0
2692122,35401,1,100,1750,4.1375,29.12083333,995.3166667,74.5,0
2919155,35401,0,100,1710,1.675,22.15416667,997.75,96.375,34
2970143,35401,0,100,1710,1.675,22.15416667,997.75,96.375,34
2983547,35401,1,100,1760,4.1375,29.12083333,995.3166667,74.5,0
2983547,35401,2,100,1760,2.9625,26.2875,997.2041667,82.33333333,0
2983624,35401,0,100,1710,2.7625,29.28333333,996.0083333,79.95833333,0
2983624,35401,1,100,1710,4.1375,29.12083333,995.3166667,74.5,0
3141959,35401,0,100,1820,1.675,22.15416667,997.75,96.375,34
3141959,35401,0,100,1820,2.7625,29.28333333,996.0083333,79.95833333,0
3141959,35401,1,100,1820,4.1375,29.12083333,995.3166667,74.5,0
4459760,35401,0,100,8020,1.675,22.15416667,997.75,96.375,34
4459760,35401,0,100,8020,3.0125,25.725,996.125,87.75,54
4628095,35401,1,100,4050,4.1375,29.12083333,995.3166667,74.5,0
4628095,35401,2,100,4050,2.9625,26.2875,997.2041667,82.33333333,0
5566334,35401,2,100,3230,2.9625,26.2875,997.2041667,82.33333333,0
7384349,35401,0,100,3090,1.675,22.15416667,997.75,96.375,34
7384349,35401,0,100,3090,2.3625,26.24583333,997.1166667,83.41666667,0
7384349,35401,0,100,3090,2.7625,29.28333333,996.0083333,79.95833333,0
7384349,35401,2,100,3090,2.9625,26.2875,997.2041667,82.33333333,0
9177944,35401,2,405,7410,2.9625,26.2875,997.2041667,82.33333333,0
9961564,35401,1,100,1720,4.1375,29.12083333,995.3166667,74.5,0
9961564,35401,2,100,1720,2.1375,23.725,1000.079167,87.08333333,1
10177342,35401,0,100,4220,1.675,22.15416667,997.75,96.375,34
10177342,35401,2,100,4220,2.9625,26.2875,997.2041667,82.33333333,0
11337956,35401,0,100,1750,2.3625,26.24583333,997.1166667,83.41666667,0
11337956,35401,0,100,1750,2.7625,29.28333333,996.0083333,79.95833333,0
11344671,35401,0,100,1760,2.3625,26.24583333,997.1166667,83.41666667,0
